"cname","ccode","cabbr","isocode","isoabbr","date","year","month","day","iso_region","region","region_type","ppi_total","ppi_regional","ppi_national"
"Canada",20,"CAN",124,"CA",2020-04-01,2020,4,1,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-02,2020,4,2,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-03,2020,4,3,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-04,2020,4,4,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-05,2020,4,5,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-06,2020,4,6,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-07,2020,4,7,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-08,2020,4,8,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-09,2020,4,9,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-10,2020,4,10,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-11,2020,4,11,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-12,2020,4,12,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-13,2020,4,13,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-14,2020,4,14,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-15,2020,4,15,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-16,2020,4,16,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-17,2020,4,17,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-18,2020,4,18,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-19,2020,4,19,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-20,2020,4,20,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-21,2020,4,21,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-22,2020,4,22,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-23,2020,4,23,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-04-24,2020,4,24,"CA-BC","British Columbia","province",0.65,0.45,0.275
"Canada",20,"CAN",124,"CA",2020-01-24,2020,1,24,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-25,2020,1,25,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-26,2020,1,26,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-27,2020,1,27,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-28,2020,1,28,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-29,2020,1,29,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-30,2020,1,30,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-31,2020,1,31,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-01,2020,2,1,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-02,2020,2,2,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-03,2020,2,3,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-04,2020,2,4,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-05,2020,2,5,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-06,2020,2,6,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-07,2020,2,7,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-08,2020,2,8,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-09,2020,2,9,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-10,2020,2,10,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-11,2020,2,11,"CA-MB","Manitoba","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-12,2020,2,12,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-13,2020,2,13,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-14,2020,2,14,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-15,2020,2,15,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-16,2020,2,16,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-17,2020,2,17,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-18,2020,2,18,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-19,2020,2,19,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-20,2020,2,20,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-21,2020,2,21,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-22,2020,2,22,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-23,2020,2,23,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-24,2020,2,24,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-25,2020,2,25,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-26,2020,2,26,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-27,2020,2,27,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-28,2020,2,28,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-02-29,2020,2,29,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-01,2020,3,1,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-02,2020,3,2,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-03,2020,3,3,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-04,2020,3,4,"CA-MB","Manitoba","province",0.025,0.025,0
